NUM_WEEK,NUM_YEAR,ID_WORKER,TYPE
28,2014,105,depot
29,2014,105,depot
30,2014,105,depot
31,2014,105,depot
32,2014,105,depot
33,2014,105,depot
34,2014,105,depot
35,2014,105,depot
36,2014,105,depot
26,2014,108,cagnes
27,2014,108,cagnes
28,2014,108,cagnes
29,2014,108,cagnes
30,2014,108,cagnes
31,2014,108,cagnes
32,2014,108,cagnes
33,2014,108,cagnes
34,2014,108,cagnes
35,2014,108,cagnes
36,2014,108,cagnes
26,2014,112,cagnes
27,2014,112,cagnes
28,2014,112,cagnes
29,2014,112,cagnes
30,2014,112,cagnes
31,2014,112,cagnes
32,2014,112,cagnes
33,2014,112,cagnes
34,2014,112,cagnes
35,2014,112,cagnes
36,2014,112,cagnes
26,2014,115,cagnes
27,2014,115,cagnes
28,2014,115,cagnes
29,2014,115,cagnes
30,2014,115,cagnes
31,2014,115,cagnes
32,2014,115,cagnes
33,2014,115,cagnes
34,2014,115,cagnes
35,2014,115,cagnes
36,2014,115,cagnes
26,2014,118,cagnes
27,2014,118,cagnes
28,2014,118,cagnes
29,2014,118,cagnes
30,2014,118,cagnes
31,2014,118,cagnes
32,2014,118,cagnes
33,2014,118,cagnes
34,2014,118,cagnes
35,2014,118,cagnes
36,2014,118,cagnes
26,2014,119,cagnes
27,2014,119,cagnes
28,2014,119,cagnes
29,2014,119,cagnes
30,2014,119,cagnes
31,2014,119,cagnes
32,2014,119,cagnes
33,2014,119,cagnes
34,2014,119,cagnes
35,2014,119,cagnes
36,2014,119,cagnes
26,2014,120,cagnes
27,2014,120,cagnes
28,2014,120,cagnes
29,2014,120,cagnes
30,2014,120,cagnes
31,2014,120,cagnes
32,2014,120,cagnes
33,2014,120,cagnes
34,2014,120,cagnes
35,2014,120,cagnes
36,2014,120,cagnes
26,2014,121,cagnes
27,2014,121,cagnes
28,2014,121,cagnes
29,2014,121,cagnes
30,2014,121,cagnes
31,2014,121,cagnes
32,2014,121,cagnes
33,2014,121,cagnes
34,2014,121,cagnes
35,2014,121,cagnes
36,2014,121,cagnes
26,2014,123,depot
27,2014,123,depot
28,2014,123,depot
29,2014,123,depot
30,2014,123,depot
31,2014,123,depot
32,2014,123,depot
33,2014,123,depot
34,2014,123,depot
35,2014,123,depot
36,2014,123,depot
26,2014,130,"Maladie / AT"
27,2014,130,"Maladie / AT"
28,2014,130,"Maladie / AT"
29,2014,130,"Maladie / AT"
30,2014,130,"Maladie / AT"
31,2014,130,"Maladie / AT"
32,2014,130,"Maladie / AT"
33,2014,130,"Maladie / AT"
34,2014,130,"Maladie / AT"
35,2014,130,"Maladie / AT"
36,2014,130,"Maladie / AT"
26,2014,133,cagnes
27,2014,133,cagnes
28,2014,133,cagnes
29,2014,133,cagnes
30,2014,133,cagnes
31,2014,133,cagnes
32,2014,133,cagnes
33,2014,133,cagnes
34,2014,133,cagnes
35,2014,133,cagnes
36,2014,133,cagnes
26,2014,134,depot
27,2014,134,depot
28,2014,134,depot
